887.826 0.567
965.584 0.567
1155.512 176.777
1281.106 0.567
1130.516 0.567
1805.194 744.556
1005.217 27.404
1140.198 0.567
1214.726 167.297
1262.575 16.202
980.000 249.534
1048.419 246.769
1028.469 61.946
1137.558 107.796
1296.304 254.726
1255.835 0.567
1039.568 72.915
1268.383 10.793
822.414 267.327
1242.379 262.907
1106.140 122.544
1141.218 131.304
1190.372 0.567
1047.312 69.082
1223.880 125.256
1255.825 50.865
1124.315 98.354
1359.703 74.911
1365.878 59.330
1436.088 1000.000
1079.163 0.567
1251.825 0.567
1070.958 1000.000
1264.538 160.679
1337.097 141.573
1338.824 237.518
1094.409 61.272
1311.069 0.567
1099.481 0.567
1231.707 66.175
930.009 174.452
1425.667 307.143
1208.579 0.567
1299.890 0.567
1350.861 0.567
928.527 119.827
1094.482 36.490
1034.791 0.567
1278.845 0.567
1117.261 0.567
1493.848 0.567
1243.877 0.567
1002.003 37.599
1107.035 126.492
1076.342 0.567
1010.480 206.010
981.460 0.567
731.281 262.627
1366.791 0.567
1072.881 0.567
1047.038 47.256
1354.014 317.493
1347.323 130.911
1268.743 139.296
1113.386 226.674
918.547 0.567
1191.721 1000.000
1844.777 0.567
1297.779 0.567
1010.681 0.567
1258.271 0.567
1275.938 135.825
1235.051 0.567
1314.260 0.567
1308.062 0.567
1105.330 154.133
1276.189 176.361
1236.117 0.567
1276.987 142.684
3300.000 1000.000
1133.080 145.166
1229.529 18.971
1124.591 69.884
1314.457 349.572
1703.916 491.987
870.066 0.567
1179.084 104.446
1087.782 0.567
1092.563 0.567
1059.538 3.395
3300.000 1000.000
1194.500 680.649
1239.051 76.210
1184.296 254.615
1141.545 248.953
1249.536 33.278
1190.414 60.970
1352.239 0.567
1109.552 88.664
1295.075 0.567
