1057.110 14.273 10.791 -1.349
1063.905 0.567 6.300 -1.398
1081.135 15.932 14.000 -2.270
1074.745 0.567 13.177 -1.762
1070.925 0.567 13.923 -1.789
1057.274 51.118 14.000 -2.147
1064.522 0.567 13.859 -1.898
1084.890 36.310 4.755 -1.311
1080.067 0.567 8.036 -1.765
1071.449 24.264 10.734 -1.808
1054.943 23.025 5.469 -1.684
1066.091 20.713 8.406 -1.784
1076.365 4.470 8.041 -1.580
1061.684 10.717 5.923 -1.378
1073.418 7.742 12.674 -2.042
1079.377 0.567 13.200 -1.635
1088.337 0.567 11.586 -1.870
1069.935 0.567 8.623 -1.573
1085.168 12.740 8.361 -1.619
1065.159 0.567 11.603 -1.396
1064.063 0.567 9.283 -1.266
1082.264 20.116 11.877 -1.888
1058.943 0.567 9.595 -1.798
1075.513 40.670 8.171 -1.582
1058.390 0.567 13.619 -1.742
1075.792 0.567 11.251 -1.422
1093.758 35.659 11.524 -1.545
1064.379 56.307 14.000 -1.619
1071.834 0.567 10.503 -1.759
1071.930 53.686 9.418 -1.604
1061.574 1.383 9.852 -1.531
1068.568 0.567 10.798 -1.876
1077.685 0.567 14.000 -1.930
1058.774 40.087 7.035 -1.620
1085.670 12.433 12.218 -1.925
1058.167 0.567 9.467 -1.679
1068.745 27.591 12.613 -1.933
1066.734 29.751 9.010 -1.664
1063.495 40.933 9.295 -1.837
1078.243 45.308 13.307 -1.848
1071.595 0.567 14.000 -2.076
1056.597 54.902 12.895 -1.375
1063.306 0.567 9.561 -1.685
1064.620 0.567 9.476 -1.321
1069.948 49.173 11.963 -1.721
1062.804 0.567 8.409 -1.708
1077.243 0.567 9.250 -1.701
1050.885 0.567 9.521 -1.622
1075.468 0.567 10.615 -1.856
1054.210 22.808 10.175 -1.426
1056.951 19.843 10.748 -1.724
1072.931 30.226 3.542 -1.284
1062.744 10.165 8.193 -1.897
1059.562 45.503 11.593 -1.801
1066.310 1.459 13.910 -1.757
1071.669 0.567 8.396 -1.804
1058.667 11.353 13.171 -1.451
1066.876 0.567 11.373 -1.663
1072.334 0.567 6.972 -1.552
1065.303 0.567 4.153 -0.780
1061.230 0.567 7.776 -1.399
1079.892 0.567 10.370 -1.598
1059.864 32.597 6.761 -1.121
1072.458 29.259 14.000 -1.916
1074.581 10.022 13.247 -1.559
1068.412 0.567 12.334 -1.499
1075.446 0.567 4.646 -1.043
1071.610 25.108 13.414 -1.813
1080.729 0.567 4.580 -1.197
1079.440 0.567 5.104 -1.414
1071.961 37.801 11.130 -1.731
1064.870 0.567 14.000 -1.790
1060.854 0.567 14.000 -1.979
1083.148 0.567 8.650 -1.597
1072.583 0.567 9.342 -1.720
1071.411 0.567 3.326 -1.092
1076.512 28.083 12.226 -1.577
1058.049 38.550 11.784 -1.901
1082.027 22.705 11.296 -1.692
1055.815 0.567 8.771 -1.242
1079.658 0.567 13.120 -1.655
1066.742 0.567 11.523 -1.517
1058.578 41.822 14.000 -1.331
1061.106 0.567 8.716 -1.296
1066.918 0.567 5.509 -1.652
1074.257 0.567 12.037 -1.803
1073.040 62.270 10.462 -1.683
1082.606 36.758 9.572 -1.727
1057.320 0.567 12.239 -1.899
1060.185 0.567 4.597 -1.152
1074.554 31.237 11.943 -1.823
1066.917 0.567 5.618 -1.871
1073.570 0.567 8.274 -1.687
1080.108 58.342 10.000 -1.784
1073.348 0.567 9.101 -1.170
1072.534 0.567 8.353 -1.243
1071.485 39.907 5.990 -1.147
1074.903 0.567 11.194 -1.698
1078.191 0.567 6.774 -1.181
1061.863 0.567 11.514 -1.702
